run,seed,algo,generation,eval_count,best_fitness,best_word,pop_best_fitness,pop_best_word,diversity
3,789,GA_uniform,21,4190,2.6595574481722193,rent,2.6595574481722193,rent,0.65
3,789,GA_uniform,22,4380,2.6595574481722193,rent,2.6595574481722193,rent,0.62
3,789,GA_uniform,23,4570,2.6595574481722193,rent,2.6595574481722193,rent,0.605
3,789,GA_uniform,24,4760,2.6595574481722193,rent,2.6595574481722193,rent,0.6
3,789,GA_uniform,25,4950,2.6595574481722193,rent,2.6595574481722193,rent,0.615
3,789,GA_uniform,26,5140,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,27,5330,2.6595574481722193,rent,2.6595574481722193,rent,0.56
3,789,GA_uniform,28,5520,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,29,5710,2.6595574481722193,rent,2.6595574481722193,rent,0.53
3,789,GA_uniform,30,5900,2.6595574481722193,rent,2.6595574481722193,rent,0.55
3,789,GA_uniform,31,6090,2.6595574481722193,rent,2.6595574481722193,rent,0.535
3,789,GA_uniform,32,6280,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,33,6470,2.6595574481722193,rent,2.6595574481722193,rent,0.615
3,789,GA_uniform,34,6660,2.6595574481722193,rent,2.6595574481722193,rent,0.61
3,789,GA_uniform,35,6850,2.6595574481722193,rent,2.6595574481722193,rent,0.575
3,789,GA_uniform,36,7040,2.6595574481722193,rent,2.6595574481722193,rent,0.535
3,789,GA_uniform,37,7230,2.6595574481722193,rent,2.6595574481722193,rent,0.52
3,789,GA_uniform,38,7420,2.6595574481722193,rent,2.6595574481722193,rent,0.56
3,789,GA_uniform,39,7610,2.6595574481722193,rent,2.6595574481722193,rent,0.51
3,789,GA_uniform,40,7800,2.6595574481722193,rent,2.6595574481722193,rent,0.535
3,789,GA_uniform,41,7990,2.6595574481722193,rent,2.6595574481722193,rent,0.535
3,789,GA_uniform,42,8180,2.6595574481722193,rent,2.6595574481722193,rent,0.54
3,789,GA_uniform,43,8370,2.6595574481722193,rent,2.6595574481722193,rent,0.585
3,789,GA_uniform,44,8560,2.6595574481722193,rent,2.6595574481722193,rent,0.58
3,789,GA_uniform,45,8750,2.6595574481722193,rent,2.6595574481722193,rent,0.545
3,789,GA_uniform,46,8940,2.6595574481722193,rent,2.6595574481722193,rent,0.53
3,789,GA_uniform,47,9130,2.6595574481722193,rent,2.6595574481722193,rent,0.58
3,789,GA_uniform,48,9320,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,49,9510,2.6595574481722193,rent,2.6595574481722193,rent,0.52
3,789,GA_uniform,50,9700,2.6595574481722193,rent,2.6595574481722193,rent,0.57
3,789,GA_uniform,51,9890,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,52,10080,2.6595574481722193,rent,2.6595574481722193,rent,0.51
3,789,GA_uniform,53,10270,2.6595574481722193,rent,2.6595574481722193,rent,0.6
3,789,GA_uniform,54,10460,2.6595574481722193,rent,2.6595574481722193,rent,0.575
3,789,GA_uniform,55,10650,2.6595574481722193,rent,2.6595574481722193,rent,0.57
3,789,GA_uniform,56,10840,2.6595574481722193,rent,2.6595574481722193,rent,0.595
3,789,GA_uniform,57,11030,2.6595574481722193,rent,2.6595574481722193,rent,0.57
3,789,GA_uniform,58,11220,2.6595574481722193,rent,2.6595574481722193,rent,0.56
3,789,GA_uniform,59,11410,2.6595574481722193,rent,2.6595574481722193,rent,0.52
3,789,GA_uniform,60,11600,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,61,11790,2.6595574481722193,rent,2.6595574481722193,rent,0.535
3,789,GA_uniform,62,11980,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,63,12170,2.6595574481722193,rent,2.6595574481722193,rent,0.585
3,789,GA_uniform,64,12360,2.6595574481722193,rent,2.6595574481722193,rent,0.595
3,789,GA_uniform,65,12550,2.6595574481722193,rent,2.6595574481722193,rent,0.6
3,789,GA_uniform,66,12740,2.6595574481722193,rent,2.6595574481722193,rent,0.545
3,789,GA_uniform,67,12930,2.6595574481722193,rent,2.6595574481722193,rent,0.5
3,789,GA_uniform,68,13120,2.6595574481722193,rent,2.6595574481722193,rent,0.6
3,789,GA_uniform,69,13310,2.6595574481722193,rent,2.6595574481722193,rent,0.575
3,789,GA_uniform,70,13500,2.6595574481722193,rent,2.6595574481722193,rent,0.605
3,789,GA_uniform,71,13690,2.6595574481722193,rent,2.6595574481722193,rent,0.575
3,789,GA_uniform,72,13880,2.6595574481722193,rent,2.6595574481722193,rent,0.605
3,789,GA_uniform,73,14070,2.6595574481722193,rent,2.6595574481722193,rent,0.63
3,789,GA_uniform,74,14260,2.6595574481722193,rent,2.6595574481722193,rent,0.56
3,789,GA_uniform,75,14450,2.6595574481722193,rent,2.6595574481722193,rent,0.58
3,789,GA_uniform,76,14640,2.6595574481722193,rent,2.6595574481722193,rent,0.54
3,789,GA_uniform,77,14830,2.6595574481722193,rent,2.6595574481722193,rent,0.58
3,789,GA_uniform,78,15020,2.6595574481722193,rent,2.6595574481722193,rent,0.56
3,789,GA_uniform,79,15210,2.6595574481722193,rent,2.6595574481722193,rent,0.545
3,789,GA_uniform,80,15400,2.6595574481722193,rent,2.6595574481722193,rent,0.555
3,789,GA_uniform,81,15590,2.6595574481722193,rent,2.6595574481722193,rent,0.525
3,789,GA_uniform,82,15780,2.6595574481722193,rent,2.6595574481722193,rent,0.565
3,789,GA_uniform,83,15970,2.6595574481722193,rent,2.6595574481722193,rent,0.53
3,789,GA_uniform,84,16160,2.6595574481722193,rent,2.6595574481722193,rent,0.58
3,789,GA_uniform,85,16350,2.6595574481722193,rent,2.6595574481722193,rent,0.595
3,789,GA_uniform,86,16540,2.6595574481722193,rent,2.6595574481722193,rent,0.555
